obdb_id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
b-o-b-s-brewery-grand-rapids,B.O.B's Brewery,brewpub,20 Monroe Ave NW,,,Grand Rapids,Michigan,,49503-6208,http://thebobsbrewery.thebob.com,6163562000,2018-07-24 01:33:33,2018-08-24 00:42:09,United States,-85.67248446,42.9638257,
bad-brewing-co-mason,BAD Brewing Co,micro,440 S Jefferson St,,,Mason,Michigan,,48854-1654,http://www.badbrewing.com,5176767664,2018-07-24 01:33:33,2018-08-24 00:42:10,United States,-84.4433383,42.5786176,
baffin-brewing-co-saint-clair-shores,Baffin Brewing Co,micro,25113 Jefferson Ave,,,Saint Clair Shores,Michigan,,48081-2303,http://baffinbrewing.com,5862187990,2018-07-24 01:33:33,2018-08-24 00:42:10,United States,-82.888964,42.472227,
bam-entertainment-center-holland,Bam Entertainment Center,brewpub,478 E 16th St,,,Holland,Michigan,,49423-3793,http://www.gobamgo.com,6163927086,2018-07-24 01:33:33,2018-08-24 00:42:11,United States,-86.08555156,42.7812873,
barn-brewers-lawton,Barn Brewers,brewpub,114 N Main St,,,Lawton,Michigan,,49065-8634,http://www.barnbrewersbrewery.com,2692990482,2018-07-24 01:33:33,2018-08-24 00:42:11,United States,-85.84966443,42.16834814,
barrel-and-beam-marquette,Barrel and Beam,micro,260 Northwoods RD,,,Marquette,Michigan,,49855,http://www.barrelandbeam.com,9062732559,2018-07-24 01:33:33,2018-08-24 00:42:12,United States,-87.4722168,46.54578,
bastone-brewery-royal-oak,Bastone Brewery,brewpub,419 S Main St,,,Royal Oak,Michigan,,48067-2615,http://www.bastone.net/br/bastone-brewery,2485446250,2018-07-24 01:33:33,2018-08-24 00:42:12,United States,-83.1440578,42.4836283,
batch-brewing-co-detroit,Batch Brewing Co,brewpub,1400 Porter St,,,Detroit,Michigan,,48216-1934,http://www.BatchBrewingCompany.com,3133388008,2018-07-24 01:33:33,2018-08-24 00:42:13,United States,-83.088689,42.3184806,
beards-brewery-petoskey,Beards Brewery,brewpub,215 E Lake St,,,Petoskey,Michigan,,49770-2415,http://www.beardsbrewery.com,2317532221,2018-07-24 01:33:33,2018-08-24 00:42:13,United States,-84.95425838,45.37533801,
beards-brewery-production-facility-charlevoix,Beards Brewery Production Facility,micro,6328 Ferry Ave,,,Charlevoix,Michigan,,49720-9504,,,2018-07-24 01:33:33,2018-08-24 00:42:14,United States,-85.249116,45.304738,
beer-church-brewing-company-new-buffalo,Beer Church Brewing Company,contract,24 S Whittaker St,,,New Buffalo,Michigan,,49117-1820,http://www.beerchurchbrewing.com,2192413876,2018-07-24 01:33:33,2018-08-24 00:42:14,United States,-86.74311848,41.79322148,
belding-brewing-company-belding,Belding Brewing Company,planning,,,,Belding,Michigan,,48809-1678,,6163086285,2018-07-24 01:33:33,2018-08-11 21:37:46,United States,,,
bell-s-brewery-inc-galesburg,"Bell's Brewery, Inc",regional,8938 Krum Ave,,,Galesburg,Michigan,,49053-9558,http://www.bellsbeer.com,2693822338,2018-07-24 01:33:33,2018-08-11 21:37:46,United States,,,
bell-s-eccentric-cafe-kalamazoo,Bell's Eccentric Cafe,brewpub,355 E Kalamazoo Ave,,,Kalamazoo,Michigan,,49007-3807,http://www.bellsbeer.com,2693822332,2018-07-24 01:33:33,2018-08-24 00:42:15,United States,-85.57887292,42.29491555,
bella-casa-di-vino-saint-clair,Bella Casa Di Vino,brewpub,201 N Riverside Ave,,,Saint Clair,Michigan,,48079-5491,http://www.suescoffeehouse.com,8103261212,2018-07-24 01:33:33,2018-08-24 00:42:15,United States,-82.48591,42.823895,
bier-distillery-comstock-park,Bier Distillery,micro,5295 West River Dr NE Ste 100,,,Comstock Park,Michigan,,49321-8030,http://bierdistillery.com,6168889746,2018-07-24 01:33:33,2018-08-11 21:37:46,United States,,,
biercamp-ann-arbor,Biercamp,brewpub,1643 S State St,,,Ann Arbor,Michigan,,48104-4302,http://www.bier-camp.com,7349952437,2018-07-24 01:33:33,2018-08-24 00:42:16,United States,-83.740111,42.2586786,
biere-de-mac-brew-works-mackinaw-city,Biere De Mac Brew Works,micro,14277 N Mackinaw Hwy,,,Mackinaw City,Michigan,,49701-8622,http://www.bieredemac.com,2314277007,2018-07-24 01:33:33,2018-08-11 21:37:46,United States,,,
big-boiler-brewing-lowell,Big Boiler Brewing,brewpub,318 E Main St,,,Lowell,Michigan,,49331-1714,http://bigboilerbrewing.com,6169873155,2018-07-24 01:33:33,2018-08-24 00:42:17,United States,-85.33655351,42.93462931,
big-cat-brewing-company-cedar,Big Cat Brewing Company,brewpub,8699 S Good Harbor Trl,,,Cedar,Michigan,,49621-8580,http://www.bigcatbrewingco.com,2312282282,2018-07-24 01:33:33,2018-08-24 00:42:18,United States,-85.79311511,44.85319287,
big-hart-brewing-company-hart,Big Hart Brewing Company,brewpub,4086 W Polk Rd,,,Hart,Michigan,,49420-8172,http://www.bighartbrewing.com,2313018226,2018-07-24 01:33:33,2018-08-11 21:37:46,United States,,,
big-lake-brewing-holland,Big Lake Brewing,micro,13 W 7th St,,,Holland,Michigan,,49423-2821,http://www.biglakebrewing.com,6167968888,2018-07-24 01:33:33,2018-08-24 00:42:18,United States,-86.10791587,42.79149405,
big-lake-brewing-production-facility-holland,Big Lake Brewing Production Facility,micro,166 E 19th St,,,Holland,Michigan,,49423-4230,,,2018-07-24 01:33:33,2018-08-24 00:42:19,United States,-86.09988824,42.78029471,
big-rock-chop-house-brewery-birmingham,Big Rock Chop House & Brewery,contract,245 S Eton St,,,Birmingham,Michigan,,48009-6577,http://www.bigrockchophouse.com,2486477774,2018-07-24 01:33:33,2018-08-24 00:42:19,United States,-83.19603911,42.54693868,
bilbo-s-pizza-and-brewery-kalamazoo,Bilbo's Pizza and Brewery,brewpub,3307 Stadium Dr,,,Kalamazoo,Michigan,,49008-1528,http://www.bilbospizza.com,2693825544,2018-07-24 01:33:33,2018-08-24 00:42:20,United States,-85.63122494,42.27160225,
bitter-old-fecker-rustic-ales-chelsea,Bitter Old Fecker Rustic Ales,micro,12855 E Old US Hwy 12,,,Chelsea,Michigan,,48118-9229,,7344445201,2018-07-24 01:33:33,2018-08-24 00:42:20,United States,-83.98452281,42.2995379,
black-fire-winery-tecumseh,Black Fire Winery,micro,1261 E Munger Rd,,,Tecumseh,Michigan,,49286-8714,,5174249232,2018-07-24 01:33:33,2018-08-11 21:37:46,United States,,,
black-lotus-brewing-co-clawson,Black Lotus Brewing Co,brewpub,1 E 14 Mile Rd,,,Clawson,Michigan,,48017-2132,http://WWW.BLACKLOTUSBEER.COM,2485771878,2018-07-24 01:33:33,2018-08-24 00:42:21,United States,-83.141428,42.533563,
blackrocks-brewery-marquette,Blackrocks Brewery,micro,424 N 3rd St,,,Marquette,Michigan,,49855-3555,http://www.blackrocksbrewery.com,9062731333,2018-07-24 01:33:33,2018-08-24 00:42:22,United States,-87.39462133,46.5464589,
blackrocks-brewery-production-facility-marquette,Blackrocks Brewery - Production Facility,micro,950 W Washington St,,,Marquette,Michigan,,49855-4019,http://www.blackrocksbrewery.com,9062731333,2018-07-24 01:33:33,2018-08-24 00:42:22,United States,-87.41368794,46.54594024,
block-brewing-company-howell,Block Brewing Company,brewpub,1140 S Michigan Ave,,,Howell,Michigan,,48843-2669,http://www.blockbrewingcompany.com,,2018-07-24 01:33:33,2018-08-24 00:42:23,United States,-83.931806,42.603858,
blue-cow-cafe-big-rapids-brewing-co-big-rapids,Blue Cow Cafe/Big Rapids Brewing Co,brewpub,119 N Michigan Ave,,,Big Rapids,Michigan,,49307-1401,http://www.bluecowcafe.com,2317960100,2018-07-24 01:33:33,2018-08-24 00:42:23,United States,-85.48211793,43.69871439,
blue-pike-cantina-marine-city,Blue Pike Cantina,brewpub,152 S Water St,,,Marine City,Michigan,,48039-1687,,8107654200,2018-07-24 01:33:33,2018-08-24 00:42:24,United States,-82.49085669,42.71829576,
blue-tractor-brewing-co-ann-arbor,Blue Tractor Brewing Co,brewpub,207 E Washington St,,,Ann Arbor,Michigan,,48104-2007,,7342224095,2018-07-24 01:33:33,2018-08-24 00:42:24,United States,-83.74704578,42.28052759,
boatyard-brewing-co-kalamazoo,Boatyard Brewing Co,micro,432 E Paterson St,,,Kalamazoo,Michigan,,49007-2599,http://www.boatyardbrewing.com,2692260300,2018-07-24 01:33:33,2018-08-24 00:42:25,United States,-85.578439,42.303203,
brass-ring-brewery-grand-rapids,Brass Ring Brewery,brewpub,2404 Eastern Ave SE,,,Grand Rapids,Michigan,,49507-3632,http://www.brassringbrewing.com,6164601587,2018-07-24 01:33:33,2018-08-24 00:42:25,United States,-85.64741488,42.91987422,
bravo-restaurant-cafe-portage,Bravo! Restaurant & Cafe,brewpub,5402 Portage Rd,,,Portage,Michigan,,49002-1718,http://www.bravokalamazoo.com,2693447700,2018-07-24 01:33:33,2018-08-24 00:42:26,United States,-85.56023131,42.23892918,
brew-detroit-detroit,Brew Detroit,micro,1401 Abbott St,,,Detroit,Michigan,,48216-1946,http://www.brewdetroit.com,3139747366,2018-07-24 01:33:33,2018-08-24 00:42:26,United States,-83.0619769,42.32770289,
brew-works-of-fremont-fremont,Brew Works of Fremont,brewpub,5909 S Warner Ave,,,Fremont,Michigan,,49412,http://www.thecommonsoffremont.com,2313355105,2018-07-24 01:33:33,2018-08-24 00:42:26,United States,-85.94003325,43.44380716,
brewery-4-two-4-holland,Brewery 4 Two 4,micro,321 Douglas Ave Ste 120,,,Holland,Michigan,,49424-6599,http://brewery424.com,6163777773,2018-07-24 01:33:33,2018-08-11 21:37:47,United States,,,
brewery-becker-brighton,Brewery Becker,brewpub,500 W Main St,,,Brighton,Michigan,,48116-1471,http://www.brauereibecker.us,8108440225,2018-07-24 01:33:33,2018-08-24 00:42:27,United States,-83.785481,42.529522,
brewery-faisan-detroit,Brewery Faisan,planning,,,,Detroit,Michigan,,48207,http://www.breweryfaisan.com,5867032030,2018-07-24 01:33:33,2018-08-11 21:37:47,United States,,,
brewery-ferment-traverse-city,Brewery Ferment,micro,511 S Union St,,,Traverse City,Michigan,,49684-3246,http://www.breweryferment.com,2317358113,2018-07-24 01:33:33,2018-08-24 00:42:28,United States,-85.62353552,44.75888715,
brewery-terra-firma-traverse-city,Brewery Terra Firma,micro,2959 Hartman Rd,,,Traverse City,Michigan,,49685-8838,http://www.breweryterrafirma.com,2319291600,2018-07-24 01:33:33,2018-08-24 00:42:28,United States,-85.63510581,44.71509875,
brewery-vivant-grand-rapids,Brewery Vivant,brewpub,925 Cherry St SE,,,Grand Rapids,Michigan,,49506-1403,http://www.breweryvivant.com,6167191604,2018-07-24 01:33:33,2018-08-24 00:42:29,United States,-85.64683809,42.95961591,
brickhaven-brewing-company-grand-ledge,BrickHaven Brewing Company,micro,200 E Jefferson St,,,Grand Ledge,Michigan,,48837-1537,,5179251319,2018-07-24 01:33:33,2018-08-24 00:42:29,United States,-84.745273,42.752301,
brickside-brewery-copper-harbor,Brickside Brewery,micro,64 Gratiot Street,,,Copper Harbor,Michigan,,49918,http://www.bricksidebrewery.com,9062894772,2018-07-24 01:33:34,2018-08-11 21:37:47,United States,,,
brite-eyes-brewing-co-kalamazoo,Brite Eyes Brewing Co,brewpub,1156 S Burdick St,,,Kalamazoo,Michigan,,49001-2741,,2692205001,2018-07-24 01:33:34,2018-08-24 00:42:30,United States,-85.582846,42.27977268,
broken-rock-brewery-port-austin,Broken Rock Brewery,brewpub,282 Grindstone Rd Bird Creek Farms,,,Port Austin,Michigan,,48467-9390,http://birdcreekfarms.com,2487033114,2018-07-24 01:33:34,2018-08-11 21:37:47,United States,,,
brooks-brewing-shelby-charter-township,Brooks Brewing,micro,52033 Van Dyke,,,Shelby Charter Township,Michigan,,48316,http://www.bbrewing.com,5868844741,2018-07-24 01:33:34,2018-08-11 21:37:47,United States,,,
brown-iron-brewhouse-washington,Brown Iron Brewhouse,brewpub,57695 Van Dyke Rd,,,Washington,Michigan,,48094-2879,http://www.browniron.com,586697330,2018-07-24 01:33:34,2018-08-24 00:42:32,United States,-83.03578521,42.71929931,
burt-lake-brewery-seasons-of-the-north-winery-alanson,Burt Lake Brewery / Seasons of the North Winery,micro,9090 W M-68 Hwy,,,Alanson,Michigan,,49706,http://www.burtlakebrewery.com,2315481280,2018-07-24 01:33:34,2018-08-11 21:37:47,United States,,,
canton-brew-works-llc-canton,"Canton Brew Works, LLC",micro,8521 N Lilley Rd,,,Canton,Michigan,,48187-2091,http://www.cantonbrewworks.com,7349277081,2018-07-24 01:33:34,2018-08-24 00:42:32,United States,-83.4586331,42.3224786,
castle-brewing-co-greenville,Castle Brewing Co,brewpub,1310 W Washington,,,Greenville,Michigan,,48838,http://www.castlebrewingco.com,6167126226,2018-07-24 01:33:34,2018-08-11 21:37:47,United States,,,
cedar-springs-brewing-company-cedar-springs,Cedar Springs Brewing Company,brewpub,95 N Main # 34,,,Cedar Springs,Michigan,,49319-5140,http://www.CSBrew.com,616696,2018-07-24 01:33:34,2018-08-11 21:37:47,United States,,,
cellar-brewing-co-sparta,Cellar Brewing Co,brewpub,133 E Division St,,,Sparta,Michigan,,49345-1329,http://www.cellarbrewingco.com,6168830777,2018-07-24 01:33:34,2018-08-24 00:42:33,United States,-85.70639839,43.16082496,
cellarmen-s-meadery-microbrewery-and-cidery-hazel-park,"Cellarmen's Meadery, Microbrewery and Cidery",micro,24310 John R Rd,,,Hazel Park,Michigan,,48030-1112,http://www.cellarmens.com,5864134206,2018-07-24 01:33:34,2018-08-11 21:37:47,United States,,,
cheboygan-brewing-co-cheboygan,Cheboygan Brewing Co,micro,101 N Main St,,,Cheboygan,Michigan,,49721-1637,http://www.cheboyganbrewing.com,2312683277,2018-07-24 01:33:34,2018-08-24 00:42:34,United States,-84.4743633,45.647403,
chelsea-alehouse-brewery-chelsea,Chelsea Alehouse Brewery,brewpub,420 N Main St Ste 100,,,Chelsea,Michigan,,48118-1299,http://www.chelseaalehouse.com,7344335500,2018-07-24 01:33:34,2018-08-11 21:37:48,United States,,,
chillax-brewing-company-llc-milford,CHILLAX Brewing Company LLC,planning,,,,Milford,Michigan,,48381-2243,,2483883458,2018-07-24 01:33:34,2018-08-11 21:37:48,United States,,,
city-built-brewing-company-grand-rapids,City Built Brewing Company,brewpub,820 Monroe Ave NW Ste 155,,,Grand Rapids,Michigan,,49503-1413,http://www.citybuiltbrewing.com,6168055755,2018-07-24 01:33:34,2018-08-11 21:37:48,United States,,,
cjs-brewing-co-commerce-township,CJs Brewing Co,brewpub,8115 Richardson Rd,,,Commerce Township,Michigan,,48390-4131,http://www.cjsbrewingcompany.com,2483667979,2018-07-24 01:33:34,2018-08-24 00:42:35,United States,-83.44295839,42.57743694,
clam-lake-beer-co-cadillac,Clam Lake Beer Co,brewpub,106 S Mitchell St Ste A,,,Cadillac,Michigan,,49601-2177,http://www.clamlakebeerco.com,2317756150,2018-07-24 01:33:34,2018-08-11 21:37:48,United States,,,
cognition-brewing-company-ishpeming,Cognition Brewing Company,micro,113 E Canda St,,,Ishpeming,Michigan,,49849-1904,http://www.cognitionbrewing.com,9062042724,2018-07-24 01:33:34,2018-08-24 00:42:36,United States,-87.6681955,46.4916806,
cognito-brewing-company-bangor,Cognito Brewing Company,brewpub,142 W Monroe St,,,Bangor,Michigan,,49013-1333,http://www.cognitobrewingcompany.com,9718088863,2018-07-24 01:33:34,2018-08-24 00:42:37,United States,-86.11152208,42.31308099,
cold-iron-brewing-ironwood,Cold Iron Brewing,micro,104 S Lowell St,,,Ironwood,Michigan,,49938-2044,http://www.coldironbrewing.com,9062857020,2018-07-24 01:33:34,2018-08-24 00:42:37,United States,-90.16984913,46.45390575,
confluxcity-brewing-company-portland,ConfluxCity Brewing Company,micro,110 N Water St,,,Portland,Michigan,,48875,http://www.confluxcitybrew.com,5175269091,2018-07-24 01:33:34,2018-08-24 00:42:38,United States,-84.90321484,42.87142429,
constantine-brewing-co-constantine,Constantine Brewing Co,brewpub,145 S Washington St,,,Constantine,Michigan,,49042-1047,http://www.constantinebrewingco.com,2694351230,2018-07-24 01:33:34,2018-08-24 00:42:38,United States,-85.66859588,41.84164216,
cotton-brewing-co-adrian,Cotton Brewing Co,brewpub,626 Oak St,,,Adrian,Michigan,,49221-3367,http://www.cottonbrewing.com,5179026608,2018-07-24 01:33:34,2018-08-24 00:42:39,United States,-84.02463418,41.89136136,
cranker-s-brewery-big-rapids,Cranker's Brewery,brewpub,213 S State St,,,Big Rapids,Michigan,,49307-1758,,2317961919,2018-07-24 01:33:34,2018-08-24 00:42:39,United States,-85.483723,43.688013,
cranker-s-restaurant-brewery-grand-rapids,Cranker's Restaurant & Brewery,brewpub,454 68th St SW,,,Grand Rapids,Michigan,,49548-7115,http://www.crankersbrewery.com,6168271919,2018-07-24 01:33:34,2018-08-11 21:37:48,United States,,,
cranker-s-restaurant-brewery-mount-pleasant,Cranker's Restaurant & Brewery,brewpub,1207 E Pickard St,,,Mount Pleasant,Michigan,,48858-1901,http://www.crankersbrewery.com,9897791919,2018-07-24 01:33:34,2018-08-24 00:42:40,United States,-84.76071102,43.61176916,
cravings-bistro-pub-benton-harbor,Cravings Bistro & Pub,brewpub,1599 Mall Dr Ste B,,,Benton Harbor,Michigan,,49022-2330,,2699349700,2018-07-24 01:33:34,2018-08-11 21:37:48,United States,,,
creston-brewery-grand-rapids,Creston Brewery,brewpub,1504 Plainfield Ave NE,,,Grand Rapids,Michigan,,49505-4923,http://www.crestonbrewery.com,6168054523,2018-07-24 01:33:34,2018-08-24 00:42:41,United States,-85.66252661,42.99120192,
dark-horse-brewing-co-marshall,Dark Horse Brewing Co,micro,511 S Kalamazoo Ave,,,Marshall,Michigan,,49068-1718,http://www.darkhorsebrewery.com,2697819940,2018-07-24 01:33:34,2018-08-24 00:42:41,United States,-84.96397652,42.26638824,
dead-bear-brewing-co-grayling,Dead Bear Brewing Co,brewpub,2552 S I 75 Business Loop,,,Grayling,Michigan,,49738-2010,,9897456289,2018-07-24 01:33:34,2018-08-11 21:37:48,United States,,,
dearborn-brewing-dearborn,Dearborn Brewing,micro,21930 Michigan Ave,,,Dearborn,Michigan,,48124-2351,http://www.dearbornbrewing.com,3139144187,2018-07-24 01:33:34,2018-08-24 00:42:42,United States,-83.2433835,42.30664415,
detroit-beer-co-detroit,Detroit Beer Co,brewpub,1529 Broadway St Ste 100,,,Detroit,Michigan,,48226-2141,http://www.detroitbeerco.com,3139621529,2018-07-24 01:33:34,2018-08-24 00:42:43,United States,-83.04871786,42.335962,
dimes-brewhouse-dimondale,Dimes Brewhouse,micro,145 N Bridge St,,,Dimondale,Michigan,,48821-9201,http://www.dimesbrewhouse.com,5173032067,2018-07-24 01:33:34,2018-08-24 00:42:43,United States,-84.6483014,42.64660055,
downey-brewing-company-dearborn,Downey Brewing Company,micro,13121 Prospect St,,,Dearborn,Michigan,,48126-3603,http://www.downeybrewingcompany.com,3132888442,2018-07-24 01:33:34,2018-08-24 00:42:44,United States,-83.17350725,42.31625295,
drafting-table-brewing-company-wixom,Drafting Table Brewing Company,micro,49438 Pontiac Trl,,,Wixom,Michigan,,48393-2005,http://www.draftingtablebeer.com,2489567279,2018-07-24 01:33:34,2018-08-24 00:42:44,United States,-83.53663792,42.52440117,
dragonmead-microbrewery-warren,Dragonmead Microbrewery,micro,14600 E 11 Mile Rd,,,Warren,Michigan,,48089-1556,,5867769428,2018-07-24 01:33:34,2018-08-24 00:42:45,United States,-83.0278041,42.492142,
draught-horse-brewery-new-hudson,Draught Horse Brewery,brewpub,57721 Grand River Ave,,,New Hudson,Michigan,,48165-8542,http://www.draughthorsebrewery.com,2486173000,2018-07-24 01:33:34,2018-08-24 00:42:46,United States,-83.61459,42.5113546,
eaglemonk-pub-and-brewery-lansing,EagleMonk Pub and Brewery,brewpub,4906 W Mount Hope Hwy,,,Lansing,Michigan,,48917-9588,,5177087350,2018-07-24 01:33:34,2018-08-24 00:42:46,United States,-84.662048,42.712054,
earthen-ales-traverse-city,Earthen Ales,micro,1371 Gray Dr Ste 200,,,Traverse City,Michigan,,49684-7805,http://www.earthenales.com,2312524270,2018-07-24 01:33:34,2018-08-24 00:42:46,United States,-85.6454249,44.755294,
east-channel-brewing-company-munising,East Channel Brewing Company,micro,209 Maple St,,,Munising,Michigan,,49862-1084,http://www.eastchannelbrewery.com,9063873007,2018-07-24 01:33:34,2018-08-24 00:42:47,United States,-86.65452518,46.40934141,
east-west-brewing-co-grand-rapids,East West Brewing Co,brewpub,1400 Lake Dr SE,,,Grand Rapids,Michigan,,49506,http://www.eastwestbrewingcompany.com,6162885250,2018-07-24 01:33:34,2018-08-24 00:42:47,United States,-85.634947,42.957318,
eastern-market-brewing-company-detroit,Eastern Market Brewing Company,micro,2515 Riopelle St,,,Detroit,Michigan,,48207-4526,http://www.easternmarket.beer,,2018-07-24 01:33:34,2018-08-24 00:42:48,United States,-83.03876229,42.346625,
eaton-pub-grille-brewery-charlotte-brewing-co-charlotte,Eaton Pub & Grille Brewery / Charlotte Brewing Co,brewpub,214 S Cochran Ave,,,Charlotte,Michigan,,48813-1551,http://www.eatonpub.com,5175438882,2018-07-24 01:33:34,2018-08-24 00:42:48,United States,-84.83579,42.549391,
eb-coffee-and-pub-caledonia,EB Coffee and Pub,brewpub,8980 N Rodgers Ct SE,,,Caledonia,Michigan,,49316-8051,http://www.ebcoffeepub.com,6168917700,2018-07-24 01:33:34,2018-08-24 00:42:49,United States,-85.50839333,42.80145682,
edelbrau-brewing-company-ann-arbor,Edelbrau Brewing Company,planning,,,,Ann Arbor,Michigan,,48108-3393,http://www.edelbrau.com,7347075184,2018-07-24 01:33:34,2018-08-11 21:37:49,United States,,,
elk-brewing-co-comstock-park,Elk Brewing Co,brewpub,400 Dodge Rd NE,,,Comstock Park,Michigan,,49321-8041,,6162385227,2018-07-24 01:33:34,2018-08-11 21:37:49,United States,,,
elk-brewing-co-grand-rapids,Elk Brewing Co,brewpub,700 Wealthy St SE,,,Grand Rapids,Michigan,,49503-5539,http://www.elkbrewing.com,6162385227,2018-07-24 01:33:34,2018-08-24 00:42:50,United States,-85.6515221,42.9554463,
elk-street-brewery-sandusky,Elk Street Brewery,brewpub,3 S Elk St,,,Sandusky,Michigan,,48471-1353,http://www.elkstreetbrewery.com,8103008049,2018-07-24 01:33:34,2018-08-24 00:42:50,United States,-82.82977088,43.42036406,
