id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
guns-and-oil-brewery,Guns & Oil Brewery,micro,111 W 33rd St,Boise,Idaho,83714,http://www.gunsandoil.com,,2018-07-24 01:33:17.273577,2018-08-24 00:30:00.08706,United States,-116.238939530612,43.6213619591837,
ram-restaurant-and-brewery-boise,RAM Restaurant and Brewery - Boise,brewpub,709 E Park Blvd,Boise,Idaho,83712-7715,http://www.theram.com,2083452929,2018-07-24 01:33:17.567203,2018-08-11 21:37:06.580414,United States,,,
sockeye-brewing-co,Sockeye Brewing Co,micro,12542 W Fairview Ave,Boise,Idaho,83716-0026,http://www.sockyebrew.com,2083225200,2018-07-24 01:33:17.680125,2020-10-11 17:15:32,United States,-116.252364,43.619049,
white-dog-brewing-boise,White Dog Brewing Boise,micro,705 W Fulton St,Boise,Idaho,83702,http://www.whitedogbrewing.com,2089060609,2018-07-24 01:33:17.755493,2018-08-24 00:30:19.63661,United States,-116.206218612245,43.6112276122449,
highlands-hollow-brewhouse,Highlands Hollow Brewhouse,brewpub,2455 N Highlands Holw,Boise,Idaho,83702-0962,http://www.highlandshollow.com,2083436820,2018-07-24 01:33:17.297818,2020-10-11 17:17:51,United States,-116.208703,43.643125,
mad-swede-brewing,Mad Swede Brewing,micro,2772 S Cole Rd Ste 140,Boise,Idaho,83709-8028,http://www.madswedebrewing.com,2089226883,2018-07-24 01:33:17.396057,2018-08-24 00:30:05.732771,United States,-116.273944,43.5769344387159,
woodland-empire-ale-craft,Woodland Empire Ale Craft,micro,1114 W Front St,Boise,Idaho,83702-6951,http://www.woodlandempire.com,2086029318,2018-07-24 01:33:17.793287,2018-08-24 00:30:21.224719,United States,-116.208681142857,43.616091,
kootenai-river-brewing-co,Kootenai River Brewing Co,brewpub,6424 Riverside Street,Bonners Ferry,Idaho,83805-1901,http://kootbrew.com,2082674677,2018-07-24 01:33:17.347338,2018-08-24 00:30:03.468642,United States,-116.3105154,48.6965721,
magic-valley-brewing,Magic Valley Brewing,brewpub,208 Broadway Ave N,Buhl,Idaho,83316-1625,,2085952679,2018-07-24 01:33:17.407983,2020-10-11 17:19:11,United States,-114.761052755102,42.6000951428571,
river-of-no-return-brewing-co,River of No Return Brewing Co,closed,810 S Hwy 93,Challis,Idaho,83226,,2088797667,2018-07-24 01:33:17.606677,2020-10-11 17:20:58,United States,-114.224139,44.500080,
daft-badger-brewing,Daft Badger Brewing,brewpub,1710 N 2nd St,Coeur D Alene,Idaho,83814-3403,https://www.facebook.com/daftbadgerbrewing,2086659892,2018-07-24 01:33:17.225996,2020-10-11 17:21:42,United States,-116.783116,47.692323,
matchstick-brewing-company,Matchstick Brewing Company,closed,,Coeur D Alene,Idaho,83815,http://www.matchstickbrewing.com,,2018-07-24 01:33:17.419732,2020-10-11 17:25:10,United States,,,
paragon-brewing,Paragon Brewing,proprietor,5785 N Government Way,Coeur D Alene,Idaho,83815-7329,http://www.paragonbrewing.com,2087729292,2018-07-24 01:33:17.493234,2020-10-11 17:25:58,United States,-116.787369,47.725118,
tricksters-brewing-company,Trickster's Brewing Company,micro,3850 N Schreiber Way,Coeur D Alene,Idaho,83815-8362,http://www.trickstersbrewing.com,9707647128,2018-07-24 01:33:17.705507,2020-10-11 17:29:09,United States,-116.803460,47.712429,
wolftrack-brewing-company,Wolftrack Brewing Company,micro,505 King St,Cottonwood,Idaho,83522-5066,https://www.facebook.com/Wolftrack-Brewing-and-Tasting-Den-467890926648903,2085071187,2018-07-24 01:33:17.780192,2020-10-11 17:31:31,United States,-116.349703438776,46.0489495408163,
shattuck-brewery,Shattuck Brewery,micro,52106 Hwy 8,Elk River,Idaho,83827,http://www.shattuckbrewery.com,,2018-07-24 01:33:17.655237,2020-10-11 17:32:09,United States,-116.191962,46.778848,
barbarian-brewing-garden-city,Barbarian Brewing - Garden City,micro,5270 W Chinden Blvd,Garden City,Idaho,83714-1457,http://www.barbarianbrewing.com,2083872739,2018-07-24 01:33:17.062439,2020-10-11 17:34:51,United States,-116.272141,43.646318,
loose-screw-beer-co,Loose Screw Beer Co.,micro,4340 W Chinden Blvd,Garden City,Idaho,83714-4866,https://www.loosescrew.beer,2086295623,2018-07-24 01:33:17.086729,2020-10-11 17:40:28,United States,-116.253602,43.634307,
county-line-brewing,County Line Brewing,micro,9115 W Chinden Blvd Ste 107,Garden City,Idaho,83714-1903,http://www.countylinebrewing.com,2088302456,2018-07-24 01:33:17.188556,2020-10-11 17:42:12,United States,-116.295667,43.655342,
crooked-fence-brewing,Crooked Fence Brewing,micro,5220 N Sawyer Ave,Garden City,Idaho,83714,http://www.crookedfencebrewing.com,2083757907,2018-07-24 01:33:17.213273,2020-10-11 17:44:20,United States,-116.268704,43.646739,
powderhaus-brewing,Powderhaus Brewing,micro,9719 W Chinden Blvd,Garden City,Idaho,83714-2008,http://www.powderhausbrewing.com,2083764026,2018-07-24 01:33:17.542995,2020-10-11 17:46:11,United States,-116.302435,43.657494,
river-bend-brewing,River Bend Brewing,micro,113 River Bend Rd,Hailey,Idaho,83333-,,2087888087,2018-07-24 01:33:17.59465,2018-08-11 21:37:06.662198,United States,,,
sawtooth-brewery,Sawtooth Brewery,brewpub,110 N River St,Hailey,Idaho,83333-7027,http://www.sawtoothbrewery.com,2087883213,2018-07-24 01:33:17.630864,2020-10-11 17:48:19,United States,-114.319764,43.522311,
sun-valley-brewing-co,Sun Valley Brewing Co,brewpub,202 N Main St,Hailey,Idaho,83333-8413,,2087885777,2018-07-24 01:33:17.69269,2018-08-24 00:30:17.023294,United States,-114.31636504521,43.5210688955474,
bombastic-brewing,Bombastic Brewing,contract,,Hayden,Idaho,83835,http://www.bombasticbrewing.com,,2018-07-24 01:33:17.123627,2018-08-11 21:37:05.306315,United States,,,
mad-bomber-brewing-company,Mad Bomber Brewing Company,micro,9265 N Government Way,Hayden,Idaho,83835-8278,http://www.madbomberbrewing.com,2087627343,2018-07-24 01:33:17.384533,2018-08-24 00:30:05.186344,United States,-116.786726666667,47.7559716666667,
idaho-brewing-co,Idaho Brewing Co,micro,775 S Capital Ave,Idaho Falls,Idaho,83402-3965,http://www.idahobrewing.com,2085897233,2018-07-24 01:33:17.322357,2018-08-24 00:30:02.135112,United States,-112.045984509756,43.4872400878334,
snow-eagle-brewing,Snow Eagle Brewing,brewpub,455 River Pkwy,Idaho Falls,Idaho,83402-3314,http://www.snoweaglebrewing.com,2085570455,2018-07-24 01:33:17.667621,2018-08-24 00:30:15.919345,United States,-112.0452184,43.4950536,
radio-brewing-company,Radio Brewing Company,brewpub,319 Main St,Kellogg,Idaho,83837,http://www.radiobrewingcompany.com,2087866633,2018-07-24 01:33:17.55527,2018-08-24 00:30:12.251733,United States,-116.122511561223,47.5339164285319,
sawooth-brewery-ketchum-public-house,Sawtooth Brewery - Ketchum Public House,brewpub,631 Warm Springs Rd,Ketchum,Idaho,83340,https://www.sawtoothbrewery.com,2087266803,2018-07-24 01:33:17.135742,2020-10-11 17:51:41,United States,-114.366822,43.683736,
warfield-distillery-and-brewery,Warfield Distillery and Brewery,brewpub,280 N. Main St.,Ketchum,Idaho,83340-2759,http://www.warfielddistillery.com,2087262739,2018-07-24 01:33:17.742783,2020-10-11 17:53:07,United States,-114.363940,43.681482,
broken-horn-brewing-company,Broken Horn Brewing Company,micro,201 S Mission St,McCall,Idaho,83638,http://www.brokenhornbrewing.com,2083155772,2018-07-24 01:33:17.148041,2020-10-11 17:55:59,United States,-116.104522,44.896502,
mccall-brewing-co,McCall Brewing Co,brewpub,807 N 3rd St,McCall,Idaho,83638-3806,http://www.mccallbrew.com,2086343309,2018-07-24 01:33:17.432067,2020-10-11 17:55:10,United States,-116.097991,44.904411,
salmon-river-brewery,Salmon River Brewery,brewpub,411 Railroad Ave,McCall,Idaho,83638-4132,http://www.salmonriverbrewery.com,2086344772,2018-07-24 01:33:17.618916,2020-10-11 17:57:12,United States,-116.097682,44.911663,
hunga-dunga-brewing,Hunga Dunga Brewing,brewpub,333 N Jackson St,Moscow,Idaho,83843-2065,http://www.hungadungabrewing.com,2085964855,2018-07-24 01:33:17.309541,2020-10-11 17:59:44,United States,-117.0027808,46.7344955,
rants-and-raves-brewery,Rants And Raves Brewery,brewpub,308 N Jackson St,Moscow,Idaho,83843-2065,https://www.rantsravesbrewery.com,2085964061,2018-07-24 01:33:17.582435,2020-10-11 18:00:12,United States,-117.0027808,46.7344955,
moscow-brewing-company,Moscow Brewing Company,micro,630 N Almon St Ste 130,Moscow,Idaho,83843-9701,https://moscowbrewing.com/index.html,2085964058,2018-07-24 01:33:17.456548,2020-10-11 18:02:31,United States,-117.003869,46.740638,
2c-family-brewing-co,2C Family Brewing Co.,micro,1215 1st St S,Nampa,Idaho,83651-3957,,2084753981,2018-07-24 01:33:17.050267,2020-10-11 18:03:11,United States,-116.559282,43.578989,
crescent-brewery,Crescent Brewery,micro,1521 Front St,Nampa,Idaho,83651-4331,http://www.crescentbeer.com,2089681034,2018-07-24 01:33:17.201065,2018-08-24 00:29:57.215397,United States,-116.555094897959,43.5767625306122,
mother-earth-brew-co,Mother Earth Brew Co,micro,1428 Madison Ave,Nampa,Idaho,83687-3038,https://www.motherearthbrewco.com/nampa,7602953074,2018-07-24 01:33:17.468785,2020-10-11 18:09:31,United States,-116.563030,43.597987,
jim-dandy-brewing,Jim Dandy Brewing,micro,305 E Lander St,Pocatello,Idaho,83201,http://www.jimdandybrewing.com,2082400470,2018-07-24 01:33:17.334997,2018-08-24 00:30:02.936179,United States,-112.4482702,42.8663043,
portneuf-valley-brewing-co,Portneuf Valley Brewing Co,brewpub,615 S 1st Ave,Pocatello,Idaho,83201-6557,http://www.portneufvalleybrewing.com,2082321644,2018-07-24 01:33:17.517996,2018-08-24 00:30:10.502646,United States,-112.443181857143,42.8599887142857,
laughing-dog-brewing,Laughing Dog Brewing,micro,805 Schweitzer Plaza Dr,Ponderay,Idaho,83852-9823,http://www.laughingdogbrewing.com,2082639222,2018-07-24 01:33:17.359748,2018-08-24 00:30:04.002384,United States,-116.5464216,48.3050088,
downdraft-brewing-co,Downdraft Brewing Co,closed,418 W Seltice Way,Post Falls,Idaho,83854-,http://www.downdraftbrewing.com,2082624233,2018-07-24 01:33:17.237913,2020-10-11 18:07:13,United States,-116.957325580404,47.715079,
post-falls-brewing,Post Falls Brewing,micro,112 N Spokane St,Post Falls,Idaho,83854-9537,http://postfallsbrewing.com,2087737301,2018-07-24 01:33:17.530335,2018-08-24 00:30:11.10984,United States,-116.947970823992,47.7062357979551,
selkirk-abbey-brewing,Selkirk Abbey Brewing,micro,6180 E Seltice Way Ste 102,Post Falls,Idaho,83854-5052,http://www.selkirkabbey.com,2082924901,2018-07-24 01:33:17.642935,2018-08-24 00:30:15.43311,United States,-116.868408493786,47.7048437077115,
heavens-gate-brewery,Heaven's Gate Brewery,micro,106 S Main St,Riggins,Idaho,83549,,2086282745,2018-07-24 01:33:17.285965,2018-08-11 21:37:05.690269,United States,-116.314621,45.422235,
bertrams-salmon-valley-brewery,Bertrams Salmon Valley Brewery,closed,101 S Andrews St,Salmon,Idaho,83467-4246,http://www.bertramsbrewery.com,2087563391,2018-07-24 01:33:17.099017,2020-10-11 18:10:58,United States,-113.893655,45.174557,
mickduffs-brewing-co,MickDuff's Brewing Co,micro,312 N First Ave,Sandpoint,Idaho,83864-1404,http://www.mickduffs.com,2082554351,2018-07-24 01:33:17.444249,2020-10-11 18:11:28,United States,-116.547640,48.275970,
von-scheidt-brewing-co,Von Scheidt Brewing Co,closed,157 2nd Ave W,Twin Falls,Idaho,83301-6015,http://www.vonscheidtbrewing.com,2083299608,2018-07-24 01:33:17.718246,2020-10-11 18:13:52,United States,-114.471756,42.5556194285714,
grand-teton-brewing-co,Grand Teton Brewing Co,micro,430 Old Jackson Hwy,Victor,Idaho,83455-5500,http://grandtetonbrewing.com,8888991656,2018-07-24 01:33:17.2616,2020-10-11 18:15:12,United States,-111.10507,43.593522,
wildlife-brewing,Wildlife Brewing,brewpub,145 S. Main St.,Victor,Idaho,83455-0869,http://wildlifebrewing.com,2087872623,2018-07-24 01:33:17.767755,2020-10-11 18:15:52,United States,-111.111268271393,43.6020078509249,
north-idaho-mountain-brew-/-city-limits-pub,North Idaho Mountain Brew / City Limits Pub,brewpub,108 Nine Mile Rd,Wallace,Idaho,83873-5021,https://citylimitspubandgrill.com,2085561885,2018-07-24 01:33:17.481137,2020-10-11 18:16:31,United States,-115.922925,47.475441,
wallace-brewing-co,Wallace Brewing Co,micro,610 Bank St,Wallace,Idaho,83873-2227,http://www.wallacebrewing.com,2085565600,2018-07-24 01:33:17.730615,2020-10-11 18:18:51,United States,-115.922710286108,47.4715313342171,
